#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
Nn4ca*Fm6y	深夜番組	深[しん] 夜[や] 番[ばん] 組[ぐみ]	late-night TV show		0047
G~R:%:U0iI	信用度	信[しん] 用[よう] 度[ど]	credit worthiness		0173
hrf)iHFYwR	心理	心[しん] 理[り]	state of mind, psychology		0006
"K#o~0I4Es="	心理的	心[しん] 理[り] 的[てき]	psychological		0007
x&1<7R*1p!	森林	森[しん] 林[りん]	forest		0034
n5m%DKW/YB	親類	親[しん] 類[るい]	relative		0002
v:7sTQi|9C	酢	酢[す]	vinegar		0014
v:LbtieuZI	図	図[ず]	diagram, figure		0050
l_^EP)R5D0	炊事	炊[すい] 事[じ]	cooking		0018
uo(.9O*yQi	随筆	随[ずい] 筆[ひつ]	essay		0026
j2kZOKGu`<	水平線	水[すい] 平[へい] 線[せん]	horizon		0034
uu$Up(!F)I	睡眠	睡[すい] 眠[みん]	sleep		0022
Nx1eT({[LH	睡眠不足	睡[すい] 眠[みん] 不[ぶ] 足[そく]	lack of sleep		0022 0023
Me.sJ`&~D[	ずうずうしい	ずうずうしい	brazen-faced, shameless		0006 0107
g*R[)6l==m	末っ子	末[すえ]っ 子[こ]	youngest child		0002
wI:QBUT0[L	杉	杉[すぎ]	cedar		0070
PbgszL&Q<H	好き嫌い	好[す]き 嫌[きら]い	likes and dislikes		0014
oY)Fw6Zn*e	すくすく	すくすく	quickly		0055
Q7Z7C+Gw_z	優れる	優[すぐ]れる	to be excellent		0038
kmeFM+Nz0F	図形	図[ず] 形[けい]	figure		0078
uRqwgyH5CI	スケジュール	スケジュール	schedule		0112
n%iH@Eo(Z)	少しも	少[すこ]しも	(not) at all [a] bit		0130
ImewOQ>Oc:	過ごす	過[す]ごす	to pass		0082
EUdQ00*XE=	涼む	涼[すず]む	to cool down		0178
FjXaI:S0i+	勧める	勧[すす]める	to encourage, to suggest		0014
AcBUO/ROtx	頭痛	頭[ず] 痛[つう]	headache		0014
ee/OF;gu[8	ずっしり	ずっしり	heavily		0142
HmpEHb5dm]	酸っぱい	酸[す]っぱい	sour		0014
p{16RJ36E$	ステージ	ステージ	stage		0026
E,KalBJ)9(	既に	既[すで]に	already		0031 0106 0137
y8[J:WvV`H	ストレス	ストレス	stress		0054
xG-h.OCfV7	砂	砂[すな]	sand		0034
mg,o{2?b4Z	ずばり	ずばり	frankly		0143
q(7IY.VDgA	好き好き	好[す]き 好[ず]き	matter of liking, taste		0014
Hb&TwMVUP)	スピード違反	スピード 違[い] 反[はん]	speeding offence		0058 0059
Lu-i-8.s2[	スペース	スペース	space		0083
mIf};UHQI(	すべて	すべて	all		0106
CL&:@_%X5.	済まない	済[す]まない	to be sorry		0010
sh&S[>u/`	～済み	～ 済[ず]み	finished ～, -ed		0161
ocd16OaOkQ	スムーズ	スムーズ	smooth		0107
Nh[c8S3EfD	ずらりと	ずらりと	in a line		0079
Cok.i,~p6b	鋭い	鋭[するど]い	sharp, acute	反.  鈍[にぶ]い<br>blunt, thick-headed, dull	0006 0101
m.`QCz*4s>	すれ～	すれ～	pass ～		0161
tvGIB^dUla	すれすれ	すれすれ	just barely, narrowly		0142
oOXT.mqCUn	すれ違う	すれ 違[ちが]う	to pass each other		0161
A?e^{W&+:n	すんなり	すんなり	smoothly		0143
i3%KjMn$<V	正～	正[せい]～	regular [exact] ～		0166
d?KaXz;+,{	～性	～ 性[せい]	-ty, -ness		0075 0173
DOT]ZucX|A	～製	～ 製[せい]	made of [in] ～		0173
Qx41|R5to;	～制	～ 制[せい]	～ system		0173
O})B1{OfHv	税	税[ぜい]	tax		0062
"y^j#v2a7+w"	正確	正[せい] 確[かく]	accurate	反. でたらめ<br>nonsense	0046
lN+?_5tCrn	正確さ	正[せい] 確[かく]さ	accuracy		0179
vU(KU)Y[A$	税関	税[ぜい] 関[かん]	customs		0030
KV8@4$XDga	～世紀	～ 世[せい] 紀[き]	～ century		0066
fSrv{Y(~ck	税金	税[ぜい] 金[きん]	tax		0062
k{4/;FY%@D	清潔	清[せい] 潔[けつ]	cleanliness	反.  不[ふ] 潔[けつ]<br>dirty	0006
C)._f3=W:p	制限	制[せい] 限[げん]	restriction		0070
gV6hhvDXyi	制作	制[せい] 作[さく]	production		0046
"e[bhUXj#]n"	製作	製[せい] 作[さく]	manufacture		0062
uWVob5_pU/	～政策	～ 政[せい] 策[さく]	～ policy		0067
m=mJt{1!Gf	制作費	制[せい] 作[さく] 費[ひ]	production cost		0047
jqRN9o@;+Q	生産	生[せい] 産[さん]	production		0074
w$`|N&{!nZ	生産量	生[せい] 産[さん] 量[りょう]	production volume [amount]		0074 0173
G/DLDb@&r}	正式	正[せい] 式[しき]	formally		0054
zS@lQI?s5*	政治欄	政[せい] 治[じ] 欄[らん]	political column		0046
biov)PB:{$	成人	成[せい] 人[じん]	adult		0054
g|ln._~h|t	成人式	成[せい] 人[じん] 式[しき]	coming-of-age ceremony [celebration]		0054 0055
"jMoJ7eS`(#"	せいぜい	せいぜい	at the most		0106 0137
J%!hY%MsEv	成績	成[せい] 績[せき]	academic result [record]		0038
z~_-5;dmur	製造	製[せい] 造[ぞう]	manufacturing		0062
cq&+%XSG2y	製造業	製[せい] 造[ぞう] 業[ぎょう]	manufacturing industry		0172
ms&M&=qH}q	盛大	盛[せい] 大[だい]	magnificent		0054
o!A4hh|(Mi	ぜいたく	ぜいたく	luxurious	反.  粗[そ] 末[まつ]<br>shabby, plain, waste	0014
A,Zo*%hVI`	成長	成[せい] 長[ちょう]	growth		0054
f7bHIF)c`k	生徒	生[せい] 徒[と]	student		0038
k-}UmjTdA=	制度	制[せい] 度[ど]	system, institution		0066
p@);enE_2=	性能	性[せい] 能[のう]	performance		0074
rCe-CI)t72	整備	整[せい] 備[び]	maintenance		0070
QKRm~lqSEw	正比例	正[せい] 比[ひ] 例[れい]	direct proportion		0166
c-8hH0EE/4	製品	製[せい] 品[ひん]	product		0074
lcm=UC/Ug6	政府	政[せい] 府[ふ]	government		0066
jR0<55GCW7	生物	生[せい] 物[ぶつ]	living thing, creature		0074
LO^wrtj!,~	正方形	正[せい] 方[ほう] 形[けい]	square		0078
L9!|&;Q~l@	税務署	税[ぜい] 務[む] 署[しょ]	tax office		0172
JMAH78[_qx	生命力	生[せい] 命[めい] 力[りょく]	vitality		0173
M`4htBo8<L	西洋風	西[せい] 洋[よう] 風[ふう]	Western style		0173
r)-w8a9N[!	整理	整[せい] 理[り]	arrangement		0018
g$AwtBXQ&l	背負う	背[せ] 負[お]う	to carry on one's back		0018 0113
h;veAd^4HA	せき	せき	cough		0022
z?kQL>.-<<	石油	石[せき] 油[ゆ]	oil		0062
KF%,PS{EBD	世間	世[せ] 間[けん]	society, world, people		0046
zG2S&Ov6jM	説	説[せつ]	theory, opinion		0038
OY@Z-z<w=p	せっかく	せっかく	with considerable trouble, carefully		0136
I,M$Sg~`eM	積極的	積[せっ] 極[きょく] 的[てき]	positive, assertive	反.  消[しょう] 極[きょく] 的[てき]<br>passive	0006 0007
mP.TBBc7K[	せっせと	せっせと	busily, hard		0043 0142
D|fT?GtCOA	接続	接[せつ] 続[ぞく]	connection		0050
x^mv]QgA}h	設定	設[せっ] 定[てい]	settings		0050
so_!i+=>md	説得	説[せっ] 得[とく]	persuasion		0054
"KEuEb5`by#"	設備	設[せつ] 備[び]	equipment		0074
hBTG==Prsk	絶滅	絶[ぜつ] 滅[めつ]	extinction	反.  繁[はん] 殖[しょく]<br>breeding	0070
sdoVCU;!iS	迫る	迫[せま]る	to approach, to press		0089
vY&*/OuytR	ゼミ	ゼミ	seminar		0038
vT+Bdj9Va/	せめて	せめて	at least		0019 0137
pG&oEG4pX{	攻める	攻[せ]める	to attack	反.  守[まも]る<br>to keep, to protect	0026
srCn[cae7R	セリフ	セリフ	lines		0026
woAi}H9:Yo	栓	栓[せん]	stopper, cork, plug		0018
E]c!59>2ed	全～	全[ぜん]～	whole ～		0166
nf_+P[C[iV	前～	前[ぜん]～	former ～, ex-		0166
u6;}jA7~51	全科目	全[ぜん] 科[か] 目[もく]	all subjects		0166
KiGGlp.@L^	選挙	選[せん] 挙[きょ]	election		0066
m*jqz}>X-)	選挙活動	選[せん] 挙[きょ] 活[かつ] 動[どう]	election campaign		0067
Z%,ENd&WF	前後	前[ぜん] 後[ご]	around		0082
tT+4lcoh5S	専攻	専[せん] 攻[こう]	major		0038
pF!cNcmWb>	全身	全[ぜん] 身[しん]	whole body		0022
LqR$zb19FI	センチメートル	センチメートル	centimetre		0078
z@.9Ned)oH	宣伝	宣[せん] 伝[でん]	advertisement		0046
rB{u5fc9:c	宣伝費	宣[せん] 伝[でん] 費[ひ]	advertising cost		0046 0047 0172
D2{YP@,?ew	先輩	先[せん] 輩[ぱい]	senior		0002
IG)sa?;lyN	洗面器	洗[せん] 面[めん] 器[き]	washbasin		0172
O!XVe]f|*H	洗面具	洗[せん] 面[めん] 具[ぐ]	washstand		0172
A/;)Ep88-p	洗面所	洗[せん] 面[めん] 所[じょ]	bathroom		0172
H,7Ru!&W4C	専門家	専[せん] 門[もん] 家[か]	expert		0172
P7G`W0/bvL	線路	線[せん] 路[ろ]	railway track		0030
M,2k[t]J{p	線路沿い	線[せん] 路[ろ] 沿[ぞ]い	along the track		0031
C%,D@1XJJD	～沿い	～ 沿[ぞ]い	along the ～		0031 0161
t9NuirVR^2	そう	そう	(not) so		0059 0130
Ea)%foG$X4	沿う	沿[そ]う	to go along		0083
q9<uh;%zlF	総～	総[そう]～	total ～		0166
ErJ6:DX2sc	騒音	騒[そう] 音[おん]	noise, din		0070
dXvJC<D+[`	増加	増[ぞう] 加[か]	increase	反.  減[げん] 少[しょう]<br>decrease	0078
o)eC.Jiok>	葬儀費用	葬[そう] 儀[ぎ] 費[ひ] 用[よう]	funeral expenses		0054 0055
Czu%n}k::t	ぞうきん	ぞうきん	dust cloth		0018
"jH`d8H1#N1"	倉庫	倉[そう] 庫[こ]	warehouse		0018
bD}UPjR09!	総合欄	総[そう] 合[ごう] 欄[らん]	general news column		0046
m,%d~ZkM)j	相互に	相[そう] 互[ご]に	mutually		0107
"B;T3I]_~5#"	操作	操[そう] 作[さ]	operation		0050
BHA>YizN&^	捜査	捜[そう] 査[さ]	(criminal) investigation		0058
x%K]|ciU%]	葬式	葬[そう] 式[しき]	funeral		0054
z_+m6+=Z5	送受信	送[そう] 受[じゅ] 信[しん]	transmission and reception		0050
qOmG/wLdoH	送信	送[そう] 信[しん]	transmission, sending	反.  受[じゅ] 信[しん]<br>reception	0050
qREzNueE,X	増大	増[ぞう] 大[だい]	increase	反.  低[てい] 下[か]<br>decrease	0078
c:PXK[_jZb	相談相手	相[そう] 談[だん] 相[あい] 手[て]	adviser		0055
t@bTQwjZEI	早朝	早[そう] 朝[ちょう]	early morning		0082
P(sYf<U!WI	相当	相[そう] 当[とう]	considerable		0106 0124
gGE@6la}m|	挿入	挿[そう] 入[にゅう]	insertion		0050
o[SrY)8T>&	送別会	送[そう] 別[べつ] 会[かい]	farewell party	反.  歓[かん] 迎[げい] 会[かい]<br>welcome party	0014 0015
poTZjU,Q*U	続々	続[ぞく] 々[ぞく]	one after another		0107
G`^FX8ZQX0	測定	測[そく] 定[てい]	measurement		0078
FVY-~N9BCr	組織	組[そ] 織[しき]	organisation		0042
b{*>WaGu~F	祖先	祖[そ] 先[せん]	ancestor	反.  子[し] 孫[そん]<br>descendant	0002
CgVW6?y0j5	注ぐ	注[そそ]ぐ	to pour, to flow into, to focus one's efforts		0014 0089
G{tiQhtZR>	そそっかしい	そそっかしい	careless	反.  慎[しん] 重[ちょう]<br>careful	0006
la=5MD39?9	育つ	育[そだ]つ	to grow up		0054
f*4D@vM5=i	そっくり	そっくり	spitting image, exactly (like)		0107
n7q)vp4a2M	率直	率[そっ] 直[ちょく]	frank		0006
vWNV~Dz(6n	備える	備[そな]える	to prepare for		0058 0089
A{)r-oVyrH	そのうち	そのうち	before long		0082 0125
dnHVd7Y}6p	そのまま	そのまま	as it is		0047
JLgKmu*&!A	ソフト	ソフト	software		0050
lJ39y)o,=C	祖父母	祖[そ] 父[ふ] 母[ぼ]	grandparents		0002
o$jJ@v)JZC	粗末	粗[そ] 末[まつ]	shabby, plain, waste	反. ぜいたく<br>luxurious	0014 0100
kLBB&!D0lu	そる	そる	to shave		0022
caR|8Wjw&R	それぞれ	それぞれ	each		0112
r:X]Uppn2[	そわそわ	そわそわ	uneasy		0143
"Hvy#hc$Q64"	尊敬	尊[そん] 敬[けい]	respect		0010
FLzjl2Ywb*	田	田[た]	rice field		0062
HLexS=qaY8	多～	多[た]～	multi-, many ～		0167
z;ze9)m$5X	～代	～ 代[だい]	～ fee [bill, fare]		0172
$Bg?FsUYR	退化	退[たい] 化[か]	degeneration	反.  進[しん] 化[か]<br>evolution	0074
EJ7[_!$.Mg	大学院	大[だい] 学[がく] 院[いん]	graduate school		0038
CBKZ,uF5T=	大気	大[たい] 気[き]	atmosphere		0070
bR?1Y[v2Ha	損害	損[そん] 害[がい]	damage		0042
l*cL_ULL&(	大気汚染	大[たい] 気[き] 汚[お] 染[せん]	air pollution		0070
o;x^7=__]N	大規模	大[だい] 規[き] 模[ぼ]	large scale		0078 0079
kUd}x|Q;15	滞在	滞[たい] 在[ざい]	stay		0030
xjE*>R(p(x	～対策	～ 対[たい] 策[さく]	measures against ～		0051 0059
y3y<8s|(F~	大して	大[たい]して	(not) that		0130
"W6Bs#7fs0"	退職届	退[たい] 職[しょく] 届[とどけ]	resignation notice		0173
zd?e+F>jV!	大臣	大[だい] 臣[じん]	minister		0066
Cft-%HD$2U	～大臣	～ 大[だい] 臣[じん]	～ Minister		0067
Qp,s[6st;W	体積	体[たい] 積[せき]	volume		0078
"AWS!zt9#BG"	大多数	大[だい] 多[た] 数[すう]	great majority		0079
v[S.KSb5*Q	態度	態[たい] 度[ど]	attitude		0010
"A+2#0UcBz:"	タイトル	タイトル	title		0046
A`|Q)%!4L^	逮捕	逮[たい] 捕[ほ]	arrest		0058
fG$y_Ps)f1	タイミング	タイミング	timing		0082
G_):Mk51P9	対立	対[たい] 立[りつ]	opposition		0042
mPb0uq0+s^	大量	大[たい] 量[りょう]	a large amount		0078
pWriG@?<Sv	ダウンロード	ダウンロード	download		0050
fsX*ww`WEc	絶えず	絶[た]えず	constantly		0125
E>w1(Xc0Q4	高まる	高[たか]まる	to increase, to heighten (vi.)		0178
yY*siiMf8E	高める	高[たか]める	to increase (vt.)		0178
NlKBaF{wul	耕す	耕[たがや]す	to plough, to cultivate		0062
x0?U^u>%oK	滝	滝[たき]	waterfall		0034
A@?wleO]Ne	炊き上がる	炊[た]き 上[あ]がる	to be cooked		0160
MLAZFlTi`$	炊く	炊[た]く	to cook		0018
yq!T*1^l[:	託児所	託[たく] 児[じ] 所[しょ]	nursery		0055
kd@I1<Y|6=	たくましい	たくましい	strong, burly		0118
A:r_.oCGqj	多国籍	多[た] 国[こく] 籍[せき]	multinational		0167
u*/rMU|[k%	足し算	足[た]し 算[ざん]	addition		0078
BME(aFI9%=	多少	多[た] 少[しょう]	a bit, somewhat		0079
LCI$z6Ggv=	足す	足[た]す	to add		0078
lvv/N_t355	～出す	～ 出[だ]す	～ out		0160
kon0uG4GX:	助け	助[たす]け	help		0112
cG0U^_=188	助け合う	助[たす]け 合[あ]う	to help each other		0160
H^W.qx!l!`	～正しい	～ 正[ただ]しい	the correct [precise] ～		0007
mwZzlf<87<	直ちに	直[ただ]ちに	right away		0059 0125
wUv4ICd6Mv	大統領	大[だい] 統[とう] 領[りょう]	president		0066
rTdP!fPS(}	ただの	ただの	just		0106
"IXB:ca-#z]"	畳む	畳[たた]む	to fold		0018
IGr!Rpv/^@	立ち上がる	立[た]ち 上[あ]がる	to rise, to stand up	反.  腰[こし] 掛[か]ける<br>to sit	0022 0023 0051
o(=_UthVm-	立ち上げる	立[た]ち 上[あ]げる	to launch		0050 0051
AXoni|:ht[	たちまち	たちまち	immediately		0023 0125
ef+jJYKsNZ	発つ	発[た]つ	to leave	反.  着[つ]く<br>to arrive	0030
xNR7~zP[}w	たつ	たつ	to pass		0082
Fc+^l9gwvt	だっこ	だっこ	hug		0018
tNz<fj}>xr	達する	達[たっ]する	to reach		0078
L|+H6[gmOq	たった	たった	only		0031 0137
DO@ePK20JB	たっぷり	たっぷり	plenty		0078
z=`?8ePu*M	～立て	～ 立[た]て	just ～		0019 0161
p.Z^9Ay_g2	立て直す	立[た]て 直[なお]す	rebuild		0160
w?*lK4@h(S	妥当	妥[だ] 当[とう]	proper		0038
"G:|ONBUgI#"	たとえ	たとえ	even if		0003 0131
MutpoWmRQ@	谷	谷[たに]	valley		0034
"A28<I#p$G`"	種	種[たね]	seed		0062
"wt#P_/fSS["	楽しみ	楽[たの]しみ	pleasure		0179
KZe`bL&(zo	頼もしい	頼[たの]もしい	reliable		0006 0118
zKd{N&/Idp	たびたび	たびたび	frequently		0106 0125
m/U<?^o-f2	旅番組	旅[たび] 番[ばん] 組[ぐみ]	travel programme		0046
pkH:qnrdoo	多方面	多[た] 方[ほう] 面[めん]	many-sided, versatile		0167
nuhA*v_.M?	たまに	たまに	occasionally		0106
bZw+^oFX%*	黙り込む	黙[だま]り 込[こ]む	to fall silent		0160
G.NK0wB70o	たまる	たまる	to accumulate, to build up		0022
J^Em15/U![	ためる	ためる	to save up	反.  解[かい] 消[しょう]する<br>to get rid of	0054
H.%n8%77_J	多用途	多[た] 用[よう] 途[と]	multi-purpose		0167
ig-4svqT:A	頼り	頼[たよ]り	reliance		0006
AHnp<3NzFX	だらしない	だらしない	slovenly		0006
GEm`V&J4kl	多量	多[た] 量[りょう]	large quantity		0167
PrmSygrk*t	短～	短[たん]～	short ～		0167
k;hLz0iqdN	単位	単[たん] 位[い]	unit		0038
I^LJ_S<yE[	短所	短[たん] 所[しょ]	shortcomings		0006
kvqaJ=X]KI	団体～	団[だん] 体[たい]～	group ～		0031
r]+Bxl%2l+	～団体	～ 団[だん] 体[たい]	～ organisation		0067
}ave7H.ev	団体競技	団[だん] 体[たい] 競[きょう] 技[ぎ]	team sports		0031
kP}VJ[Z!/n	団体旅行	団[だん] 体[たい] 旅[りょ] 行[こう]	group tour	反.  個[こ] 人[じん] 旅[りょ] 行[こう]<br>individual travel	0030 0031
zUJ8QH]![8	担当	担[たん] 当[とう]	in charge		0038
xj?/k9QSjW	単なる	単[たん]なる	mere		0106
ca[w.~3mUY	単に	単[たん]に	simply		0137
er!=Znp`zV	～地	～ 地[ち]	～ site [place]		0172
L<^es}NShn	チェック	チェック	check		0074
pQUYgp57BH	～違い	～ 違[ちが]い	different [wrong] ～		0161
"z#D3*{hIG}"	誓う	誓[ちか]う	to swear		0054
qT7Q(UJgrI	近く	近[ちか]く	near		0125
oo[3Fups>/	地下水	地[ち] 下[か] 水[すい]	underground water		0034
Nn@hj^ff,1	近々	近[ちか] 々[ぢか]	shortly		0047 0125
fR&3^[5I`~	力を入れる	力[ちから]を 入[い]れる	to put effort into		0155
e.Q~rzj|=~	地球温暖化	地[ち] 球[きゅう] 温[おん] 暖[だん] 化[か]	global warming		0070 0071
BzKDx=dZ(m	知人	知[ち] 人[じん]	acquaintance		0002
n&:ZMa~}ua	縮む	縮[ちぢ]む	to shrink		0018
eL?faYGAR3	ちっとも	ちっとも	(not a) bit		0003 0106 0130
Hr`uB5%ef2	地平線	地[ち] 平[へい] 線[せん]	horizon		0034
JO>iHYS:V$	地方	地[ち] 方[ほう]	region		0030
tjI.P*xS]:	地方公共団体	地[ち] 方[ほう] 公[こう] 共[きょう] 団[だん] 体[たい]	local public organisation		0067
v5G40xVHfh	チャンス	チャンス	chance		0082 0112
"J:lCR-T#_$"	中華風	中[ちゅう] 華[か] 風[ふう]	Chinese style		0015 0173
s-~2bhzRG`	中間試験	中[ちゅう] 間[かん] 試[し] 験[けん]	mid-term examination		0038
fS~8ZRWx*{	中古	中[ちゅう] 古[こ]	second-hand		0050
su;+@)0k/=	忠告	忠[ちゅう] 告[こく]	advice		0010
Jwz|Ahmm<;	駐車違反	駐[ちゅう] 車[しゃ] 違[い] 反[はん]	illegal parking		0059
gVw=z1E>k4	注射器	注[ちゅう] 射[しゃ] 器[き]	syringe		0172
lIKWee2XZ%	中旬	中[ちゅう] 旬[じゅん]	middle ten days of a month		0082
F>RfIKFvo6	中断	中[ちゅう] 断[だん]	interruption		0082
Fv:X6ECiWs	注目	注[ちゅう] 目[もく]	attention		0046
"fr#L9@xQsO"	注文	注[ちゅう] 文[もん]	order		0014
u>8@r-{:]5	長～、長～	長[ちょう]～、 長[なが]～	long ～		0167
"f$T$&#8(ML"	超～	超[ちょう]～	super ～, ultra-		0167
z?(>MS$(=V	～帳	～ 帳[ちょう]	-book		0173
sI{(JbWB>w	超一流	超[ちょう] 一[いち] 流[りゅう]	top-notch		0167
dv1;7jauT6	超大型	超[ちょう] 大[おお] 型[がた]	extra large		0167
fDNvc;tRes	父親	父[ちち] 親[おや]	father		0054
EP.WGZiRrl	朝刊	朝[ちょう] 刊[かん]	morning newspaper		0046
"vyxs^i#N9@"	超高層ビル	超[ちょう] 高[こう] 層[そう]ビル	skyscraper		0167
Ra6ihk/[S*	超小型	超[ちょう] 小[こ] 型[がた]	ultra-small		0167
l|?_lX?q<Y	調子	調[ちょう] 子[し]	condition		0022
wKW8Fxo]L0	長所	長[ちょう] 所[しょ]	strong point		0006
kkjt)fLTpV	頂上	頂[ちょう] 上[じょう]	summit, top		0034
u2qr}-GU(x	調整	調[ちょう] 整[せい]	adjustment		0113
FA?HQ{;^%L	挑戦状	挑[ちょう] 戦[せん] 状[じょう]	written challenge		0173
zW_pf,:jEM	超大作	超[ちょう] 大[たい] 作[さく]	blockbuster		0167
itryr]9a(U	ちょうど	ちょうど	just		0131
y<>A{Pg?T:	長方形	長[ちょう] 方[ほう] 形[けい]	rectangle		0078
FWZ)zg~=vL	調味料	調[ちょう] 味[み] 料[りょう]	seasoning		0014 0015
woA~6A05wf	貯金	貯[ちょ] 金[きん]	savings		0062
dgGs4(2D`Z	著者	著[ちょ] 者[しゃ]	author, writer		0026
"NjT#AG-(95"	貯蓄	貯[ちょ] 蓄[ちく]	savings		0062
N{Z`5!Qt]6	著名人	著[ちょ] 名[めい] 人[じん]	celebrity		0047
meJeik&L|`	散らかる	散[ち]らかる	to be scattered		0018
gJwz-s/8<L	ちらっと	ちらっと	glance		0079
rKc/%t0./X	つい	つい	by accident, without meaning		0107 0136
kXnhX.;_fQ	追加	追[つい] 加[か]	addition		0014
Q4$`6BdWr4	ついに	ついに	finally		0071 0136
o@Z7@3;KuW	費やす	費[つい]やす	to spend		0074
A]@a*qR3BH	通学	通[つう] 学[がく]	attending school		0030
kMtRxKbLIM	通勤	通[つう] 勤[きん]	commuting		0030
odD(Z7<S,+	通信～	通[つう] 信[しん]～	communication [correspondence] ～		0051
hHeg^A3*=F	通信機能	通[つう] 信[しん] 機[き] 能[のう]	communication function		0050 0051
z%qXcD<<Cp	通信速度	通[つう] 信[しん] 速[そく] 度[ど]	communication speed		0050
g<ga*w51YN	通信網	通[つう] 信[しん] 網[もう]	communication network		0074
1D4Da9T|{	通訳	通[つう] 訳[やく]	interpretation		0030
"m#+nAdUP[="	～遣い	～ 遣[づか]い	～ habit, way of ～		0003 0161
N1Q<4gtTP4	使い道	使[つか]い 道[みち]	how to use ～		0112
kY+YAqtrjO	捕まる	捕[つか]まる	to get caught		0058
CJX;[8!F%C	つかむ	つかむ	to grab		0082 0089
sm>iUw*F8L	疲れ気味	疲[つか]れ 気[ぎ] 味[み]	feeling slightly tired		0079
Ma2H8;0=sZ	～つき	～つき	look of ～		0161
4u0Vx2WWy	付き合い	付[つ]き 合[あ]い	relationship		0002 0003
IFJn_4+%3,	次々	次[つぎ] 々[つぎ]	one after another		0075 0107
y$j_jI:tr6	月日	月[つき] 日[ひ]	time		0082
B`KU7(?I1!	つぐ	つぐ	to pour		0014
pNsj=lkY`^	つくづく	つくづく	thoroughly, deeply		0143
O.A7[0gml9	～つける	～つける	(indicates doing something emphatically)		0011
z_xOXt3CTg	津波警報	津[つ] 波[なみ] 警[けい] 報[ほう]	tsunami warning		0059
weHaPV^Ngq	常に	常[つね]に	always		0083 0106 0137
MHp32,]H=7	つぶす	つぶす	to crush		0089
C!KMmb*4g4	つぶれる	つぶれる	to collapse		0042
eil2OgsgB.	～っぽい	～っぽい	-ish, a touch of ～		0007
f$?$=AT|N|	つぼみ	つぼみ	flower bud		0070
h[-W23T.9:	つまむ	つまむ	to pick up with one's fingers		0014
va4$|,y7w0	罪	罪[つみ]	crime		0058
DA[21^J5-U	積む	積[つ]む	to load, to accumulate, to pile up		0078 0094
c/l&JoaQO{	詰め込む	詰[つ]め 込[こ]む	to cram into		0160
O6p3V]HEAx	詰める	詰[つ]める	to fill		0026
P}HUFG.qqi	梅雨	梅雨[つゆ]	rainy season		0034
ATQ3<r3?<}	強気	強[つよ] 気[き]	strong, aggressive	反.  弱[よわ] 気[き]<br>coward	0006
oLI8|yQ~Je	強まる	強[つよ]まる	to strengthen, to intensify (vi.)		0178
wSjxZS-YX$	強み	強[つよ]み	strength		0179
bB28%_Z_L0	強める	強[つよ]める	to strengthen, to increase (vt.)		0178
f:v8U!U<<z	釣り具	釣[つ]り 具[ぐ]	fishing gear		0172
"hepf#Sp/>"	つるす	つるす	to hang		0018
jh{Iu`^$qk	～連れ	～ 連[づ]れ	accompanied by ～		0161
Q*CcBu^Y-M	連れ出す	連[つ]れ 出[だ]す	to take out		0160
E7c%iNuA_g	出会う	出[で] 会[あ]う	to meet, to come across		0054
KSX^tf)Z?k	低～	低[てい]～	low ～		0167
B5~Bh@gN^&	提案	提[てい] 案[あん]	suggestion		0042
KrH|;pwV7C	定員	定[てい] 員[いん]	(seating) capacity		0030
Afm;,dzQ`h	低下	低[てい] 下[か]	decrease	反.  増[ぞう] 大[だい]<br>increase	0078
=GeGJRZ7x	低カロリー	低[てい]カロリー	low calorie		0167
eOv>/_M0fB	定期券	定[てい] 期[き] 券[けん]	commuter pass		0030 0031
eftC44tmnS	定期預金	定[てい] 期[き] 預[よ] 金[きん]	time deposit		0062 0063
m&x_<O$s.`	低血圧	低[てい] 血[けつ] 圧[あつ]	low blood pressure		0167
I`hfN,AaAR	停車	停[てい] 車[しゃ]	stopping	反.  発[はっ] 車[しゃ]<br>departure	0030
miq%X-f,$K	訂正	訂[てい] 正[せい]	correction		0113 0119
fqDj3_H.p_	停電	停[てい] 電[でん]	blackout, power failure		0058
sMlX&(baS-	停留所	停[てい] 留[りゅう] 所[じょ]	stop		0030
hij[8%C(o[	データ	データ	data		0050
I)F<*=92|>	手が空く	手[て]が 空[あ]く	to be free		0149
GK%<d6Y,vH	手が掛かる	手[て]が 掛[か]かる	difficult		0149
l/4MNH7.Nd	手が足りない	手[て]が 足[た]りない	to be short-handed [undermanned]		0149
"I6ol#w!;19"	手が出ない	手[て]が 出[で]ない	to be out of one's reach		0149
Bbr0b!84ZV	手が離せない	手[て]が 離[はな]せない	to be in the middle of something		0149
edLSxt6V(E	敵	敵[てき]	enemy	反.  味[み] 方[かた]<br>ally, friend	0026
Q-h[WJdQuA	～的	～ 的[てき]	-ic, -tive (added to a noun to make it an adjective)		0007 0011 0027 0047 0055 0075 0173
Edx6O}+4=_	出来上がる	出[で] 来[き] 上[あ]がる	to be finished		0018 0019 0160
Lw[qj~w6g>	適応	適[てき] 応[おう]	adaptation		0119
uUeYKa%u.=	適切	適[てき] 切[せつ]	appropriate	反.  不[ふ] 適[てき] 切[せつ]<br>unsuitable	0046 0119
piMRq]0]P^	出来立て	出[で] 来[き] 立[た]て	freshly made, just done		0018 0019 0161
